City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,81.64,73,20,14.97,US,1686622444
1,jamestown,42.097,-79.2353,56.79,79,100,9.22,US,1686622420
2,tura,25.5198,90.2201,79.52,87,9,5.64,IN,1686622444
3,invercargill,-46.4,168.35,52.72,83,72,4.07,NZ,1686622180
4,puerto natales,-51.7236,-72.4875,35.08,96,100,4.38,CL,1686622444
5,vernon,50.2581,-119.2691,91.92,35,33,3.44,CA,1686622444
6,talnakh,69.4865,88.3972,47.21,73,97,4.09,RU,1686622444
7,waitangi,-43.9535,-176.5597,52.83,89,94,3.0,NZ,1686622445
8,ushuaia,-54.8,-68.3,40.66,75,20,24.16,AR,1686622271
9,port-aux-francais,-49.35,70.2167,43.25,89,100,31.07,TF,1686622445
10,vuktyl,63.8567,57.3094,50.63,79,100,7.78,RU,1686622445
11,bethel,41.3712,-73.414,67.64,88,100,9.22,US,1686622445
12,magadan,59.5667,150.8,65.53,85,89,10.0,RU,1686622445
13,chinde,26.8418,88.0763,70.95,74,31,2.91,NP,1686622445
14,port elizabeth,-33.918,25.5701,55.69,65,0,8.05,ZA,1686622446
15,edinburgh of the seven seas,-37.0676,-12.3116,59.18,90,100,18.72,SH,1686622446
16,galle,6.0367,80.217,81.63,83,100,12.88,LK,1686622446
17,margaret river,-33.95,115.0667,60.39,69,100,16.51,AU,1686622446
18,enewetak,11.3474,162.3373,82.13,81,98,19.8,MH,1686622446
19,grytviken,-54.2811,-36.5092,27.3,85,94,9.04,GS,1686622446
20,bhimunipatnam,17.8833,83.4333,89.11,55,39,7.34,IN,1686622446
21,uyar,55.81,94.3153,62.06,63,17,8.57,RU,1686622447
22,blackmans bay,-43.0167,147.3167,53.73,77,100,7.65,AU,1686622447
23,yellowknife,62.456,-114.3525,46.35,67,100,7.05,CA,1686622194
24,constantia,44.1833,28.65,54.7,84,38,15.5,RO,1686622447
25,wailua homesteads,22.0669,-159.378,81.03,78,20,14.97,US,1686622447
26,vammala,61.3333,22.9,49.57,61,71,5.95,FI,1686622447
27,khorixas,-20.3667,14.9667,50.09,46,3,5.82,NA,1686622447
28,west island,-12.1568,96.8225,80.58,83,40,19.69,CC,1686622448
29,yanam,16.7333,82.2167,93.94,47,100,8.05,IN,1686622448
30,corn island,12.1694,-83.0418,84.51,80,100,15.9,NI,1686622448
31,alice springs,-23.7,133.8833,64.22,31,0,10.36,AU,1686622448
32,malanje,-9.5402,16.341,61.41,93,12,3.44,AO,1686622448
33,dauphin,51.1494,-100.0502,73.54,60,0,4.61,CA,1686622448
34,tiksi,71.6872,128.8694,35.96,96,100,6.71,RU,1686622448
35,lerwick,60.1545,-1.1494,53.6,93,100,7.05,GB,1686622448
36,anadyr,64.75,177.4833,63.1,48,0,6.71,RU,1686622449
37,thompson,55.7435,-97.8558,46.56,81,100,11.5,CA,1686622449
38,bredasdorp,-34.5322,20.0403,57.11,73,67,25.34,ZA,1686622449
